"","ENTREZID","SYMBOL","ENSEMBL","SRR12878708","SRR12878713","SRR12878714","SRR12878717","SRR12878718","SRR12878719"
"1","1","A1BG","ENSG00000121410",36,15,26,17,10,21
"6766","2","A2M","ENSG00000175899",154285,5364,97222,45,2440,2697
"10887","3","A2MP1","ENSG00000256069",25,3,15,0,0,1
"25056","9","NAT1","ENSG00000171428",55,6,63,0,5,11
"2","10","NAT2","ENSG00000156006",0,0,0,0,0,0
"4145","12","SERPINA3","ENSG00000196136",13,117,70,7,13,32
"4649","13","AADAC","ENSG00000114771",0,0,0,3,2,1
"5028","14","AAMP","ENSG00000127837",1879,96,1815,1,71,76
"5586","15","AANAT","ENSG00000129673",17,4,16,8,9,1
"6030","16","AARS1","ENSG00000090861",2591,246,1418,28,134,97
"6505","18","ABAT","ENSG00000183044",623,21,197,35,10,11
"6589","19","ABCA1","ENSG00000165029",3761,268,2021,3,115,74
"6767","20","ABCA2","ENSG00000107331",1388,90,449,12,97,66
"7046","21","ABCA3","ENSG00000167972",1221,66,446,4,64,41
"7221","22","ABCB7","ENSG00000131269",814,47,436,0,32,15
"7661","23","ABCF1","ENSG00000204574",1921,117,1362,26,215,143
"7662","23","ABCF1","ENSG00000236149",1921,117,1362,26,215,143
"7663","23","ABCF1","ENSG00000225989",1921,117,1362,26,215,143
"7664","23","ABCF1","ENSG00000232169",1921,117,1362,26,215,143
"7665","23","ABCF1","ENSG00000236342",1921,117,1362,26,215,143
"7666","23","ABCF1","ENSG00000206490",1921,117,1362,26,215,143
"7667","23","ABCF1","ENSG00000231129",1921,117,1362,26,215,143
"8308","24","ABCA4","ENSG00000198691",103,13,6,6,14,19
"8400","25","ABL1","ENSG00000097007",1641,180,681,5,246,111
"8956","26","AOC1","ENSG00000002726",11,2,2,0,0,3
"9479","27","ABL2","ENSG00000143322",1170,89,469,94,434,220
"9770","28","ABO","ENSG00000175164",465,18,444,7,69,15
"9771","28","ABO","ENSG00000281879",465,18,444,7,69,15
"10585","29","ABR","ENSG00000159842",7283,790,4682,74,376,231
"10586","29","ABR","ENSG00000276016",7283,790,4682,74,376,231
"10587","29","ABR","ENSG00000278741",7283,790,4682,74,376,231
"10888","30","ACAA1","ENSG00000060971",755,53,315,0,33,23
"11018","31","ACACA","ENSG00000278540",907,96,469,67,88,66
"11019","31","ACACA","ENSG00000275176",907,96,469,67,88,66
"11267","32","ACACB","ENSG00000076555",1348,138,984,6,197,98
"11360","33","ACADL","ENSG00000115361",1,0,12,0,2,3
"11619","34","ACADM","ENSG00000117054",1150,84,578,8,55,54
"12000","35","ACADS","ENSG00000122971",192,16,99,9,10,0
"12113","36","ACADSB","ENSG00000196177",470,17,252,0,4,2
"12217","37","ACADVL","ENSG00000072778",1512,245,720,4,256,209
"12441","38","ACAT1","ENSG00000075239",1675,72,901,0,19,49
"13093","39","ACAT2","ENSG00000120437",176,15,124,0,0,11
"13409","40","ASIC2","ENSG00000108684",23,0,16,58,1,12
"13951","41","ASIC1","ENSG00000110881",33,4,17,3,8,3
"14187","43","ACHE","ENSG00000087085",17,9,58,323,386,910
"14784","47","ACLY","ENSG00000131473",2567,216,1530,58,196,191
"14895","48","ACO1","ENSG00000122729",667,99,482,4,64,31
"14990","49","ACR","ENSG00000100312",4,11,6,1,0,3
"14991","49","ACR","ENSG00000283539",4,11,6,1,0,3
"15120","50","ACO2","ENSG00000100412",816,65,342,3,20,19
"15324","51","ACOX1","ENSG00000161533",1563,144,879,9,58,45
"15967","52","ACP1","ENSG00000143727",730,45,430,0,11,28
"16051","53","ACP2","ENSG00000134575",823,67,445,0,20,44
"16200","54","ACP5","ENSG00000102575",14,1,86,3,0,12
"16730","55","ACP3","ENSG00000014257",151,17,108,3,0,4
"17580","56","ACRV1","ENSG00000134940",0,0,0,0,0,2
"18616","58","ACTA1","ENSG00000143632",1,0,2,21,2,4
"18770","59","ACTA2","ENSG00000107796",1703,136,2035,21,26,193
"18907","60","ACTB","ENSG00000075624",112374,10973,56872,333,2107,4969
"21137","70","ACTC1","ENSG00000159251",4,0,0,0,5,4
"21234","71","ACTG1","ENSG00000184009",26934,2599,13462,167,1329,2177
"21346","72","ACTG2","ENSG00000163017",29,0,96,7,0,9
"23263","81","ACTN4","ENSG00000130402",15403,919,6838,8,666,674
"23264","81","ACTN4","ENSG00000282844",15403,919,6838,8,666,674
"24621","86","ACTL6A","ENSG00000136518",634,17,367,0,23,35
"24719","87","ACTN1","ENSG00000072110",3566,660,1979,43,278,378
"24812","88","ACTN2","ENSG00000077522",407,4,289,0,5,15
"24921","89","ACTN3","ENSG00000248746",1,0,2,1,1,1
"25057","90","ACVR1","ENSG00000115170",2479,105,1209,1,34,45
"25267","91","ACVR1B","ENSG00000135503",507,29,179,15,43,50
"25463","92","ACVR2A","ENSG00000121989",625,29,245,7,15,10
"25650","93","ACVR2B","ENSG00000114739",656,21,315,19,16,36
"25811","94","ACVRL1","ENSG00000139567",2606,414,1286,12,257,258
"25963","95","ACY1","ENSG00000243989",2,4,3,0,0,2
"26166","97","ACYP1","ENSG00000119640",28,6,32,2,29,1
"26273","98","ACYP2","ENSG00000170634",90,29,101,1,0,8
"3","100","ADA","ENSG00000196839",94,23,29,6,26,33
"2354","101","ADAM8","ENSG00000151651",232,80,8,3,8,5
"2488","102","ADAM10","ENSG00000137845",5406,388,3671,9,118,129
"2612","103","ADAR","ENSG00000160710",12387,884,8345,26,556,302
"2692","104","ADARB1","ENSG00000197381",656,101,388,40,223,114
"2801","105","ADARB2","ENSG00000185736",313,9,42,5,8,12
"3003","107","ADCY1","ENSG00000164742",260,15,97,1,46,57
"3079","108","ADCY2","ENSG00000078295",194,5,39,9,2,6
"3172","109","ADCY3","ENSG00000138031",835,24,460,0,25,33
"3392","111","ADCY5","ENSG00000173175",381,3,124,14,17,5
"3491","112","ADCY6","ENSG00000174233",1018,48,515,5,122,84
"3621","113","ADCY7","ENSG00000121281",1856,337,1251,9,12,16
"3712","114","ADCY8","ENSG00000155897",38,7,6,32,52,65
"3826","115","ADCY9","ENSG00000162104",2004,102,819,25,134,123
"3935","116","ADCYAP1","ENSG00000141433",6,6,21,2,1,2
"4021","117","ADCYAP1R1","ENSG00000078549",297,6,41,3,13,10
"4061","118","ADD1","ENSG00000087274",10041,757,5577,35,580,491
"4103","119","ADD2","ENSG00000075340",82,17,17,5,7,13
"4146","120","ADD3","ENSG00000148700",1994,103,508,1,78,63
"4257","123","PLIN2","ENSG00000147872",515,45,495,0,18,38
"4300","124","ADH1A","ENSG00000187758",0,0,0,0,0,8
"4365","125","ADH1B","ENSG00000196616",141,0,47,0,0,20
"4397","126","ADH1C","ENSG00000248144",2,0,1,0,0,1
"4485","127","ADH4","ENSG00000198099",1,0,0,0,0,2
"4543","128","ADH5","ENSG00000197894",908,63,477,0,13,12
"4650","130","ADH6","ENSG00000172955",2,14,0,0,0,1
"4701","131","ADH7","ENSG00000196344",0,0,0,0,0,0
"4739","132","ADK","ENSG00000156110",539,35,253,0,2,27
"4777","133","ADM","ENSG00000148926",358,79,234,12,43,114
"4801","134","ADORA1","ENSG00000163485",40,1,90,11,36,33
"4836","135","ADORA2A","ENSG00000128271",11,0,0,0,0,0
"4886","136","ADORA2B","ENSG00000170425",175,0,46,0,0,3
"5029","140","ADORA3","ENSG00000282608",2077,137,1774,2,2,47
"5124","141","ADPRH","ENSG00000144843",908,75,311,3,12,5
"5135","142","PARP1","ENSG00000143799",3374,302,2102,13,155,124
"5157","143","PARP4","ENSG00000102699",3109,429,2108,11,186,134
"5303","146","ADRA1D","ENSG00000171873",2,2,5,5,19,15
"5377","147","ADRA1B","ENSG00000170214",5,2,8,7,25,11
"5462","148","ADRA1A","ENSG00000120907",21,8,7,2,3,2
"5587","150","ADRA2A","ENSG00000150594",190,0,66,6,2,5
"5659","151","ADRA2B","ENSG00000274286",35,13,4,1,0,3
"5724","152","ADRA2C","ENSG00000184160",254,3,67,1,4,2
"5781","153","ADRB1","ENSG00000043591",168,12,254,7,3,1
"5822","154","ADRB2","ENSG00000169252",1435,77,787,1,5,2
"5864","155","ADRB3","ENSG00000188778",0,0,0,37,0,7
"5887","156","GRK2","ENSG00000173020",4423,446,2934,87,93,158
"5896","157","GRK3","ENSG00000100077",1450,126,623,16,41,57
"5938","158","ADSL","ENSG00000239900",766,36,537,0,58,36
"6010","159","ADSS2","ENSG00000035687",248,45,172,1,85,8
"6031","160","AP2A1","ENSG00000196961",1200,153,617,0,43,117
"6064","161","AP2A2","ENSG00000183020",2743,228,1379,2,164,139
"6065","161","AP2A2","ENSG00000280759",2743,228,1379,2,164,139
"6066","161","AP2A2","ENSG00000281385",2743,228,1379,2,164,139
"6109","162","AP1B1","ENSG00000100280",6378,587,4175,42,104,209
"6151","163","AP2B1","ENSG00000006125",3462,230,1842,5,129,118
"6199","164","AP1G1","ENSG00000166747",1824,131,1011,6,74,58
"6225","165","AEBP1","ENSG00000106624",1227,81,904,4,75,83
"6251","166","TLE5","ENSG00000104964",3153,267,1811,0,210,175
"6278","167","CRISP1","ENSG00000124812",0,0,2,1,0,1
"6428","172","AFG3L1P","ENSG00000223959",110,23,94,4,69,40
"6435","173","AFM","ENSG00000079557",0,0,0,2,0,2
"6445","174","AFP","ENSG00000081051",0,0,0,0,0,3
"6455","175","AGA","ENSG00000038002",267,24,208,3,1,10
"6462","176","ACAN","ENSG00000157766",13,3,15,6,0,39
"6470","177","AGER","ENSG00000204305",46,2,35,0,22,11
"6471","177","AGER","ENSG00000230514",46,2,35,0,22,11
"6472","177","AGER","ENSG00000231268",46,2,35,0,22,11
"6473","177","AGER","ENSG00000229058",46,2,35,0,22,11
"6474","177","AGER","ENSG00000237405",46,2,35,0,22,11
"6475","177","AGER","ENSG00000206320",46,2,35,0,22,11
"6476","177","AGER","ENSG00000234729",46,2,35,0,22,11
"6484","178","AGL","ENSG00000162688",745,77,527,1,27,14
"6516","181","AGRP","ENSG00000159723",28,2,3,0,0,0
"6526","182","JAG1","ENSG00000101384",5529,309,2624,5,367,330
"6537","183","AGT","ENSG00000135744",761,0,295,1,1,3
"6557","185","AGTR1","ENSG00000144891",43,0,10,0,4,3
"6567","186","AGTR2","ENSG00000180772",0,0,0,0,0,0
"6570","187","APLNR","ENSG00000134817",235,14,18,1,51,44
"6581","189","AGXT","ENSG00000172482",0,0,0,0,0,1
"6590","190","NR0B1","ENSG00000169297",0,0,0,0,0,1
"6598","191","AHCY","ENSG00000101444",664,46,305,2,25,47
"6641","196","AHR","ENSG00000106546",1052,216,706,2,153,112
"6688","197","AHSG","ENSG00000145192",0,0,1,2,0,2
"6717","199","AIF1","ENSG00000204472",4069,429,5228,16,22,142
"6718","199","AIF1","ENSG00000235588",4069,429,5228,16,22,142
"6719","199","AIF1","ENSG00000206428",4069,429,5228,16,22,142
"6720","199","AIF1","ENSG00000234836",4069,429,5228,16,22,142
"6721","199","AIF1","ENSG00000235985",4069,429,5228,16,22,142
"6722","199","AIF1","ENSG00000237727",4069,429,5228,16,22,142
"6892","202","CRYBG1","ENSG00000112297",671,132,407,5,80,55
"6930","203","AK1","ENSG00000106992",367,40,307,0,23,17
"6978","204","AK2","ENSG00000004455",747,75,374,0,53,38
"6996","205","AK4","ENSG00000162433",114,15,39,29,16,23
"7028","207","AKT1","ENSG00000142208",2265,235,1442,93,166,175
"7039","208","AKT2","ENSG00000105221",625,91,314,7,64,80
"7047","210","ALAD","ENSG00000148218",663,79,375,2,35,28
"7055","211","ALAS1","ENSG00000023330",2019,110,872,2,30,40
"7064","212","ALAS2","ENSG00000158578",15,0,12,1,0,1
"7072","213","ALB","ENSG00000163631",6,2,0,10,4,2
"7081","214","ALCAM","ENSG00000170017",715,107,517,19,17,21
"7087","215","ABCD1","ENSG00000101986",541,75,269,5,79,65
"7096","216","ALDH1A1","ENSG00000165092",994,19,387,0,60,28
"7105","217","ALDH2","ENSG00000111275",3193,219,1970,2,52,30
"7114","218","ALDH3A1","ENSG00000108602",6,0,14,0,1,2
"7124","219","ALDH1B1","ENSG00000137124",398,46,195,5,0,14
"7222","220","ALDH1A3","ENSG00000184254",85,5,15,0,6,15
"7289","221","ALDH3B1","ENSG00000006534",364,63,132,37,4,6
"7395","222","ALDH3B2","ENSG00000132746",34,0,11,2,1,1
"7441","223","ALDH9A1","ENSG00000143149",2147,99,1164,1,99,74
"7450","224","ALDH3A2","ENSG00000072210",637,47,349,1,22,17
"7460","225","ABCD2","ENSG00000173208",99,3,20,0,0,1
"7474","226","ALDOA","ENSG00000149925",6560,677,2827,61,195,346
"7581","229","ALDOB","ENSG00000136872",18,7,1,0,0,3
"7668","230","ALDOC","ENSG00000109107",1119,14,213,0,6,14
"7759","231","AKR1B1","ENSG00000085662",612,83,297,0,22,35
"8305","238","ALK","ENSG00000171094",9,0,1,5,2,18
"8306","239","ALOX12","ENSG00000108839",83,21,46,0,6,16
"8309","240","ALOX5","ENSG00000012779",1467,240,847,2,34,68
"8310","240","ALOX5","ENSG00000275565",1467,240,847,2,34,68
"8311","241","ALOX5AP","ENSG00000132965",1214,123,1253,0,11,7
"8325","242","ALOX12B","ENSG00000179477",2,1,0,0,5,2
"8326","244",NA,NA,0,3,0,0,1,0
"8328","245","ALOX12P2","ENSG00000262943",14,0,3,10,0,19
"8363","246","ALOX15","ENSG00000161905",6,0,1,3,8,0
"8385","247","ALOX15B","ENSG00000179593",16,12,0,1,4,11
