"","ENTREZID","SYMBOL","ENSEMBL","SRR12878708","SRR12878713","SRR12878714","SRR12878717","SRR12878718","SRR12878719"
"8387","248","ALPI","ENSG00000163295",0,0,0,0,0,0
"8394","249","ALPL","ENSG00000162551",3205,657,1457,2,185,68
"8401","250","ALPP","ENSG00000163283",0,0,0,1,0,0
"8402","251","ALPG","ENSG00000163286",0,5,0,0,0,1
"8670","257","ALX3","ENSG00000156150",88,6,26,3,0,0
"8735","258","AMBN","ENSG00000178522",0,0,0,0,0,1
"8823","259","AMBP","ENSG00000106927",2,0,0,0,0,0
"9107","262","AMD1","ENSG00000123505",1518,67,832,1,19,57
"9233","265","AMELX","ENSG00000125363",0,1,3,5,0,1
"9295","266","AMELY","ENSG00000099721",0,0,0,0,0,0
"9339","267","AMFR","ENSG00000159461",3024,130,1311,5,53,35
"9412","268","AMH","ENSG00000104899",47,2,15,10,34,22
"9452","269","AMHR2","ENSG00000135409",0,0,0,0,1,2
"9480","270","AMPD1","ENSG00000116748",8,4,2,0,1,0
"9538","271","AMPD2","ENSG00000116337",497,110,429,4,82,59
"9605","272","AMPD3","ENSG00000133805",1159,105,545,16,20,18
"9653","273","AMPH","ENSG00000078053",77,12,75,0,1,5
"9702","274","BIN1","ENSG00000136717",5983,787,7170,8,32,108
"9724","275","AMT","ENSG00000145020",139,8,64,0,34,11
"9726","276","AMY1A","ENSG00000237763",0,0,0,1,0,0
"9753","279","AMY2A","ENSG00000243480",11,8,4,0,0,0
"9772","280","AMY2B","ENSG00000240038",360,18,230,0,23,13
"9838","283","ANG","ENSG00000214274",23,0,42,0,0,0
"10041","284","ANGPT1","ENSG00000154188",367,0,259,2,4,19
"10241","285","ANGPT2","ENSG00000091879",331,220,268,12,524,684
"10414","286","ANK1","ENSG00000029534",245,22,374,4,11,26
"10508","287","ANK2","ENSG00000145362",804,28,295,30,6,16
"10520","288","ANK3","ENSG00000151150",418,17,75,52,9,48
"10588","290","ANPEP","ENSG00000166825",701,114,143,17,28,41
"10638","291","SLC25A4","ENSG00000151729",434,32,279,4,5,8
"10679","292","SLC25A5","ENSG00000005022",1135,78,622,3,9,94
"10687","293","SLC25A6","ENSG00000169100",2,0,1,0,0,2
"10908","301","ANXA1","ENSG00000135046",2069,296,1584,39,384,227
"10916","302","ANXA2","ENSG00000182718",268,108,437,2,105,77
"10923","303","ANXA2P1",NA,2,3,5,3,5,3
"10933","304","ANXA2P2",NA,868,443,1603,8,209,375
"10943","305","ANXA2P3",NA,1,3,3,0,3,5
"10950","306","ANXA3","ENSG00000138772",1791,147,1190,1,13,8
"10960","307","ANXA4","ENSG00000196975",637,63,231,12,21,22
"10968","308","ANXA5","ENSG00000164111",5944,344,2308,0,143,317
"11007","309","ANXA6","ENSG00000197043",1427,88,838,9,49,148
"11020","310","ANXA7","ENSG00000138279",2307,188,1104,0,21,46
"11060","311","ANXA11","ENSG00000122359",2689,371,1879,49,54,139
"11128","312","ANXA13","ENSG00000104537",0,0,0,2,7,10
"11159","313","AOAH","ENSG00000136250",2415,259,1808,0,0,1
"11191","314","AOC2","ENSG00000131480",18,2,6,1,0,11
"11206","316","AOX1","ENSG00000138356",26,1,20,3,0,3
"11216","317","APAF1","ENSG00000120868",1526,163,769,20,60,18
"11242","318","NUDT2","ENSG00000164978",147,17,108,0,15,14
"11252","319","APOF","ENSG00000175336",1,1,3,6,3,0
"11268","320","APBA1","ENSG00000107282",869,91,594,22,33,38
"11269","320","APBA1","ENSG00000276497",869,91,594,22,33,38
"11280","321","APBA2","ENSG00000034053",443,8,346,23,0,12
"11281","321","APBA2","ENSG00000276495",443,8,346,23,0,12
"11291","322","APBB1","ENSG00000166313",683,27,269,11,23,10
"11302","323","APBB2","ENSG00000163697",3921,243,1894,8,307,307
"11312","324","APC","ENSG00000134982",4629,246,1675,42,149,85
"11318","325","APCS","ENSG00000132703",1,0,0,0,0,0
"11322","326","AIRE","ENSG00000160224",0,9,2,3,1,2
"11337","327","APEH","ENSG00000164062",623,64,392,2,10,23
"11344","328","APEX1","ENSG00000100823",1355,103,1111,17,46,58
"11349","329","BIRC2","ENSG00000110330",1145,79,761,2,27,56
"11361","330","BIRC3","ENSG00000023445",511,30,651,0,18,8
"11382","331","XIAP","ENSG00000101966",1409,140,793,5,61,71
"11389","332","BIRC5","ENSG00000089685",0,1,6,2,9,14
"11394","333","APLP1","ENSG00000105290",335,12,111,0,15,3
"11401","334","APLP2","ENSG00000084234",22369,1445,19337,29,636,596
"11408","335","APOA1","ENSG00000118137",10,1,9,0,1,1
"11418","336","APOA2","ENSG00000158874",2,2,0,0,1,0
"11424","337","APOA4","ENSG00000110244",0,0,0,0,3,2
"11454","338","APOB","ENSG00000084674",6,3,12,2,8,31
"11520","339","APOBEC1","ENSG00000111701",0,0,0,7,0,0
"11690","341","APOC1","ENSG00000130208",1145,243,469,0,3,57
"11719","342","APOC1P1","ENSG00000214855",43,0,11,0,0,1
"11763","343","AQP8","ENSG00000103375",0,0,0,0,6,1
"11805","344","APOC2","ENSG00000234906",16,0,11,0,0,0
"11842","345","APOC3","ENSG00000110245",0,0,0,0,0,0
"11895","347","APOD","ENSG00000189058",1344,50,526,2,23,78
"11940","348","APOE","ENSG00000130203",17892,3010,14112,41,12,229
"12001","350","APOH","ENSG00000091583",2,1,0,0,0,0
"12004","351","APP","ENSG00000142192",22408,1341,14446,116,1610,1510
"12012","353","APRT","ENSG00000198931",333,76,176,0,8,11
"12056","354","KLK3","ENSG00000142515",0,0,0,0,0,2
"12060","355","FAS","ENSG00000026103",367,51,160,0,25,21
"12070","356","FASLG","ENSG00000117560",0,2,0,0,7,0
"12080","357","SHROOM2","ENSG00000146950",3088,49,1140,10,166,76
"12089","358","AQP1","ENSG00000240583",111,27,12,3,288,8
"12096","359","AQP2","ENSG00000167580",1,0,0,1,8,5
"12114","360","AQP3","ENSG00000165272",1,2,3,1,10,2
"12132","361","AQP4","ENSG00000171885",1763,15,168,2,0,10
"12140","362","AQP5","ENSG00000161798",0,0,0,0,5,1
"12150","363","AQP6","ENSG00000086159",0,0,0,2,0,12
"12159","364","AQP7","ENSG00000165269",27,0,19,0,4,2
"12174","366","AQP9","ENSG00000103569",378,271,25,0,2,1
"12184","367","AR","ENSG00000169083",195,127,180,467,602,465
"12195","368","ABCC6","ENSG00000091262",76,4,46,3,0,4
"12196","368","ABCC6","ENSG00000275331",76,4,46,3,0,4
"12206","369","ARAF","ENSG00000078061",1147,76,588,9,38,46
"12235","372","ARCN1","ENSG00000095139",4730,325,3213,4,156,194
"12241","373","TRIM23","ENSG00000113595",492,17,217,0,68,7
"12253","374","AREG","ENSG00000109321",16,0,8,0,0,5
"12317","375","ARF1","ENSG00000143761",5554,504,2696,106,125,249
"12390","377","ARF3","ENSG00000134287",3043,284,1648,34,42,132
"12405","378","ARF4","ENSG00000168374",1027,64,462,1,30,39
"12429","379","ARL4D","ENSG00000175906",96,22,33,32,0,1
"12609","381","ARF5","ENSG00000004059",772,52,294,2,3,20
"12706","382","ARF6","ENSG00000165527",3292,201,1585,37,45,127
"12713","383","ARG1","ENSG00000118520",17,24,4,0,0,2
"12726","384","ARG2","ENSG00000081181",274,58,107,13,0,5
"12774","387","RHOA","ENSG00000067560",12844,966,7426,25,242,349
"12856","388","RHOB","ENSG00000143878",22009,498,8429,15,575,544
"12981","389","RHOC","ENSG00000155366",3503,250,1320,15,175,246
"13094","390","RND3","ENSG00000115963",1778,103,1903,3,44,46
"13219","391","RHOG","ENSG00000177105",980,193,571,0,12,11
"13263","392","ARHGAP1","ENSG00000175220",1983,159,1169,21,17,60
"13296","393","ARHGAP4","ENSG00000089820",1119,286,941,0,237,92
"13309","394","ARHGAP5","ENSG00000100852",4612,219,1991,1,163,61
"13320","395","ARHGAP6","ENSG00000047648",804,75,492,11,18,24
"13330","396","ARHGDIA","ENSG00000141522",4129,500,2130,22,299,356
"13339","397","ARHGDIB","ENSG00000111348",8189,1007,6650,88,146,464
"13347","398","ARHGDIG","ENSG00000242173",0,0,0,0,0,0
"13356","399","RHOH","ENSG00000168421",123,4,88,0,2,0
"13410","400","ARL1","ENSG00000120805",1265,64,730,0,23,42
"13520","401","PHOX2A","ENSG00000165462",0,0,0,0,2,5
"13653","402","ARL2","ENSG00000213465",234,29,162,0,3,8
"13673","403","ARL3","ENSG00000138175",563,31,326,0,20,14
"13728","405","ARNT","ENSG00000143437",2593,147,1258,1,126,62
"13749","406","ARNTL","ENSG00000133794",218,41,67,0,13,8
"13874","407","ARR3","ENSG00000120500",4,5,20,1,11,2
"13929","408","ARRB1","ENSG00000137486",2817,239,1362,41,170,106
"13943","409","ARRB2","ENSG00000141480",2497,219,1565,1,14,47
"13952","410","ARSA","ENSG00000100299",215,54,214,9,50,16
"13961","411","ARSB","ENSG00000113273",525,55,403,2,24,45
"13971","412","STS","ENSG00000101846",274,19,179,23,29,10
"13989","414","ARSD","ENSG00000006756",1016,54,550,3,26,25
"14068","415","ARSL","ENSG00000157399",177,0,60,0,0,13
"14081","416","ARSF","ENSG00000062096",2,0,0,2,6,2
"14088","417","ART1","ENSG00000129744",12,10,1,0,0,9
"14101","419","ART3","ENSG00000156219",0,0,8,4,0,2
"14108","420","ART4","ENSG00000111339",0,0,0,2,0,0
"14116","421","ARVCF","ENSG00000099889",549,65,224,3,4,39
"14158","427","ASAH1","ENSG00000104763",7573,512,4297,1,55,53
"14177","429","ASCL1","ENSG00000139352",8,0,0,2,33,2
"14188","430","ASCL2","ENSG00000183734",43,4,58,3,2,6
"14208","432","ASGR1","ENSG00000141505",9,1,13,35,49,54
"14220","433","ASGR2","ENSG00000161944",24,17,36,0,1,9
"14228","434","ASIP","ENSG00000101440",14,0,14,0,0,5
"14240","435","ASL","ENSG00000126522",504,59,161,0,32,19
"14255","438","ASMT","ENSG00000196433",0,0,0,0,0,0
"14258","439","GET3","ENSG00000198356",376,33,176,13,22,18
"14274","440","ASNS","ENSG00000070669",102,19,60,11,15,1
"14584","443","ASPA","ENSG00000108381",43,0,13,1,0,5
"14598","444","ASPH","ENSG00000198363",2825,203,2614,6,269,167
"14601","445","ASS1","ENSG00000130707",218,34,123,0,7,1
"14680","460","ASTN1","ENSG00000152092",701,10,520,6,8,5
"14698","462","SERPINC1","ENSG00000117601",0,0,3,0,0,2
"14709","463","ZFHX3","ENSG00000140836",14786,4891,17143,17622,24493,28980
"14733","466","ATF1","ENSG00000123268",549,51,360,0,6,21
"14742","467","ATF3","ENSG00000162772",6050,67,8452,1,199,164
"14754","468","ATF4","ENSG00000128272",2619,160,2207,23,266,210
"14799","471","ATIC","ENSG00000138363",310,19,271,1,1,54
"14811","472","ATM","ENSG00000149311",5174,622,4209,12,169,103
"14821","473","RERE","ENSG00000142599",6115,430,4243,71,478,416
"14830","474","ATOH1","ENSG00000172238",0,0,0,5,6,1
"14842","475","ATOX1","ENSG00000177556",262,21,155,0,11,27
"14857","476","ATP1A1","ENSG00000163399",2994,326,2079,2,351,218
"14862","477","ATP1A2","ENSG00000018625",87692,334,16309,4,5,195
"14872","478","ATP1A3","ENSG00000105409",71,0,47,9,3,2
"14878","479","ATP12A","ENSG00000075673",8,1,1,2,13,20
"14896","480","ATP1A4","ENSG00000132681",1008,14,197,6,7,21
"14905","481","ATP1B1","ENSG00000143153",549,24,567,3,11,23
"14912","482","ATP1B2","ENSG00000129244",4516,18,1078,2,4,24
"14920","483","ATP1B3","ENSG00000069849",920,99,512,0,188,149
"14960","486","FXYD2","ENSG00000137731",4,0,3,0,0,0
"14969","487","ATP2A1","ENSG00000196296",8,0,11,1,4,3
"14972","488","ATP2A2","ENSG00000174437",5189,387,2681,101,356,312
"14983","489","ATP2A3","ENSG00000074370",704,192,571,4,176,42
"14992","490","ATP2B1","ENSG00000070961",1926,162,1231,7,128,55
"15004","491","ATP2B2","ENSG00000157087",166,13,94,15,1,13
"15011","492","ATP2B3","ENSG00000067842",3,4,22,7,0,16
"15025","493","ATP2B4","ENSG00000058668",2961,281,1899,42,241,148
"15074","495","ATP4A","ENSG00000105675",2,0,2,8,7,2
"15081","496","ATP4B","ENSG00000186009",0,0,0,5,9,7
"15082","496","ATP4B","ENSG00000288359",0,0,0,5,9,7
"15098","498","ATP5F1A","ENSG00000152234",3475,286,1915,1,57,100
"15131","501","ALDH7A1","ENSG00000164904",284,22,137,7,19,5
"15204","506","ATP5F1B","ENSG00000110955",3478,266,1519,1,75,53
"15303","509","ATP5F1C","ENSG00000165629",984,76,601,2,12,35
"15607","513","ATP5F1D","ENSG00000099624",1147,111,911,2,22,60
"15693","514","ATP5F1E","ENSG00000124172",151,17,250,1,17,15
"15752","515","ATP5PB","ENSG00000116459",711,73,402,0,13,39
"15821","516","ATP5MC1","ENSG00000159199",59,4,49,0,2,6
"15888","517","ATP5MC2","ENSG00000135390",531,53,342,0,8,21
"15943","518","ATP5MC3","ENSG00000154518",454,38,262,4,8,31
"15976","521","ATP5ME","ENSG00000169020",742,33,600,0,69,52
"15985","522","ATP5PF","ENSG00000154723",684,59,588,9,23,30
"15993","523","ATP6V1A","ENSG00000114573",1718,174,843,5,80,87
"16003","525","ATP6V1B1","ENSG00000116039",8,5,0,4,5,10
"16013","526","ATP6V1B2","ENSG00000147416",1881,249,1055,7,52,58
"16023","527","ATP6V0C","ENSG00000185883",216,26,137,1,13,15
"16033","528","ATP6V1C1","ENSG00000155097",1416,95,787,1,53,26
"16041","529","ATP6V1E1","ENSG00000131100",771,32,384,0,12,36
"16080","533","ATP6V0B","ENSG00000117410",739,38,374,0,21,7
"16107","534","ATP6V1G2","ENSG00000213760",50,0,62,0,0,0
"16108","534","ATP6V1G2","ENSG00000234920",50,0,62,0,0,0
"16109","534","ATP6V1G2","ENSG00000226850",50,0,62,0,0,0
"16110","534","ATP6V1G2","ENSG00000234668",50,0,62,0,0,0
"16111","534","ATP6V1G2","ENSG00000230900",50,0,62,0,0,0
"16112","534","ATP6V1G2","ENSG00000206445",50,0,62,0,0,0
"16113","534","ATP6V1G2","ENSG00000227587",50,0,62,0,0,0
"16126","535","ATP6V0A1","ENSG00000033627",1705,128,919,14,92,67
"16151","537","ATP6AP1","ENSG00000071553",1745,131,935,1,39,41
"16162","538","ATP7A","ENSG00000165240",1371,109,1151,0,19,16
"16183","539","ATP5PO","ENSG00000241837",461,24,409,62,8,16
"16201","540","ATP7B","ENSG00000123191",754,55,342,3,57,55
